ON/OFF Ratio (r),Number of Averages (Nav​),Time (ns),Improvement vs r=5 (%)
5,6.53,261.20,0.00%
10,3.57,142.88,45.30%
15,2.83,113.17,56.67%
20,2.49,99.74,61.82% # best values around here
25,2.30,92.09,64.74%
30,2.18,87.16,66.63%
35,2.09,83.71,67.95%
40,2.03,81.16,68.93%
45,1.98,79.21,69.68%
50,1.94,77.66,70.27%
55,1.91,76.40,70.75%
60,1.88,75.36,71.15%
65,1.86,74.48,71.48%
70,1.84,73.74,71.77%
75,1.83,73.09,72.02%
80,1.81,72.53,72.23%
85,1.80,72.03,72.42%
90,1.79,71.59,72.59%
95,1.78,71.20,72.74%
100,1.77,70.85,72.88%
