Total feasible configurations found: 3686400

🏆 BEST FOR PURE ENERGY EFFICIENCY (Highest POPS/W/b)
      K        Cols(M)     ON/OFF        Sw          Lx      Latency(ns)  T-put(TOPS)  Total E(pJ)  Etot(fJ/bOP)   POPS/W/b       EDP   
    128         8192        100          4           4         283.4        59.200      4542.41        0.271         3.7        76.73   
    128         8064        100          4           4         283.4        58.275      4471.44        0.271         3.7        76.73   
    128         7936        100          4           4         283.4        57.350      4400.46        0.271         3.7        76.73   
    128         7808        100          4           4         283.4        56.425      4329.49        0.271         3.7        76.73   
    128         7680        100          4           4         283.4        55.500      4258.51        0.271         3.7        76.73   
    128         7552        100          4           4         283.4        54.575      4187.54        0.271         3.7        76.73   
    128         7424        100          4           4         283.4        53.650      4116.56        0.271         3.7        76.73   
    128         7296        100          4           4         283.4        52.725      4045.59        0.271         3.7        76.73   
    128         7168        100          4           4         283.4        51.800      3974.61        0.271         3.7        76.73   
    128         7040        100          4           4         283.4        50.875      3903.64        0.271         3.7        76.73   

🏆 BEST FOR PURE SPEED (Lowest Latency)
      K        Cols(M)     ON/OFF        Sw          Lx      Latency(ns)  T-put(TOPS)  Total E(pJ)  Etot(fJ/bOP)   POPS/W/b       EDP   
    128         8192        100          3           4         160.0        78.643      4643.93        0.369         2.7        59.05   
    128         8192         99          3           4         160.0        78.643      4643.96        0.369         2.7        59.05   
    128         8192         98          3           4         160.0        78.643      4643.98        0.369         2.7        59.05   
    128         8192         97          3           4         160.0        78.643      4644.00        0.369         2.7        59.05   
    128         8192         96          3           4         160.0        78.643      4644.03        0.369         2.7        59.05   
    128         8192         95          3           4         160.0        78.643      4644.05        0.369         2.7        59.05   
    128         8192         94          3           4         160.0        78.643      4644.08        0.369         2.7        59.05   
    128         8192         93          3           4         160.0        78.643      4644.10        0.369         2.7        59.05   
    128         8192         92          3           4         160.0        78.643      4644.13        0.369         2.7        59.05   
    128         8192         91          3           4         160.0        78.643      4644.15        0.369         2.7        59.05   

🏆 BEST OVERALL BALANCE (Lowest EDP)
      K        Cols(M)     ON/OFF        Sw          Lx      Latency(ns)  T-put(TOPS)  Total E(pJ)  Etot(fJ/bOP)   POPS/W/b       EDP   
    128         8192        100          3           4         160.0        78.643      4643.93        0.369         2.7        59.05   
    128         8192         99          3           4         160.0        78.643      4643.96        0.369         2.7        59.05   
    128         8192         98          3           4         160.0        78.643      4643.98        0.369         2.7        59.05   
    128         8192         97          3           4         160.0        78.643      4644.00        0.369         2.7        59.05   
    128         8192         96          3           4         160.0        78.643      4644.03        0.369         2.7        59.05   
    128         8192         95          3           4         160.0        78.643      4644.05        0.369         2.7        59.05   
    128         8192         94          3           4         160.0        78.643      4644.08        0.369         2.7        59.05   
    128         8192         93          3           4         160.0        78.643      4644.10        0.369         2.7        59.05   
    128         8192         92          3           4         160.0        78.643      4644.13        0.369         2.7        59.05   
    128         8192         91          3           4         160.0        78.643      4644.15        0.369         2.7        59.05   

🏆 BEST FOR MASSIVE THROUGHPUT (Highest TOPS)
      K        Cols(M)     ON/OFF        Sw          Lx      Latency(ns)  T-put(TOPS)  Total E(pJ)  Etot(fJ/bOP)   POPS/W/b       EDP   
    1024        8192        100          2            4         174.8      383.929      45226.09       0.674         1.5        117.80  
    1024        8192        100          2            8         349.6      383.929      90452.17       0.674         1.5        235.60  
    1024        8192        100          2           16         699.2      383.929     180904.35       0.674         1.5        471.19  
    1024        8192        100          2           32        1398.4      383.929     361808.69       0.674         1.5        942.39  
    1152        8192        100          2            4         196.6      383.929      52520.67       0.696         1.4        136.80  
    1280        8192        100          2            4         218.5      383.929      60180.00       0.717         1.4        156.75  
    1408        8192        100          2            4         240.3      383.929      68204.07       0.739         1.4        177.65  
    1152        8192        100          2            8         393.3      383.929     105041.35       0.696         1.4        273.60  
    1280        8192        100          2            8         437.0      383.929     120360.00       0.717         1.4        313.50  
    1408        8192        100          2            8         480.7      383.929     136408.13       0.739         1.4        355.30  
