Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 8000, 1, 1, 32, 0.202894, 0.192396, N/A, 0.0029119, 0.00239383, 2.0213, 0.0141324, 2, 2, 8, 16, 1, 1, 76.1676, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 1, 32, 0.198912, 0.157531, N/A, 0.00156083, 0.00185462, 1.13286, 0.00741668, 2, 2, 4, 8, 1, 1, 74.3097, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 1, 32, 0.198912, 0.157531, N/A, 0.00156083, 0.00185462, 1.13286, 0.00741668, 2, 2, 4, 8, 1, 1, 74.3097, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4096, 1, 1, 32, 0.198912, 0.157531, N/A, 0.00156083, 0.00185462, 1.13286, 0.00741668, 2, 2, 4, 8, 1, 1, 74.3097, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 128, 1, 1, 32, 0.108879, 0.0923519, N/A, 0.000305936, 0.000399485, 0.0423379, 0.000372419, 2, 2, 1, 2, 1, 1, 46.246, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
